Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
October-2018,305.30,356.30,294.80,355.10,31068109,237835,10035846994.00,7472835,24.05,61.50,49.80
November-2018,356.10,375.25,347.65,355.00,21701012,147528,7764433902.00,9900687,45.62,27.60,-1.10
December-2018,359.80,369.25,335.90,360.00,20667652,110484,7347462924.00,5285418,25.57,33.35,0.20
January-2019,362.00,383.35,336.85,364.25,35262982,186326,12978111344.00,18988657,53.85,46.50,2.25
February-2019,364.00,365.70,336.25,348.80,22186545,131399,7737341819.00,11550946,52.06,29.45,-15.20
March-2019,351.80,402.70,350.10,398.85,31473075,165370,12013236812.00,17050755,54.18,52.60,47.05
April-2019,402.00,410.65,385.10,407.75,13647495,106968,5424526723.00,2716039,19.90,25.55,5.75
May-2019,404.60,437.90,375.05,423.40,25334942,209923,10170084227.00,9454064,37.32,62.85,18.80
June-2019,422.55,443.85,407.85,437.25,8694992,96005,3684782347.00,3018104,34.71,36.00,14.70
July-2019,439.70,441.95,401.90,424.50,24482854,162403,10398858531.00,16112287,65.81,40.05,-15.20
August-2019,423.70,427.60,385.80,410.40,25409681,178910,10392154560.00,14278651,56.19,41.80,-13.30
September-2019,407.95,458.45,384.60,433.40,25975989,243835,10858912611.00,10391664,40.00,73.85,25.45
October-2019,436.90,481.95,411.60,462.85,23092248,232089,10408712405.00,7038732,30.48,70.35,25.95
November-2019,466.90,520.00,460.40,511.95,16904598,195241,8339363941.00,7174034,42.44,59.60,45.05
December-2019,514.00,552.40,504.80,538.75,10346026,157642,5516816928.00,3775984,36.50,47.60,24.75
January-2020,539.20,547.45,515.00,525.55,27811073,203454,14875219269.00,11797746,42.42,32.45,-13.65
February-2020,527.00,550.45,493.40,496.05,36831817,157761,19643925083.00,30794761,83.61,57.05,-30.95
March-2020,505.20,520.00,269.00,324.50,38574143,539715,14291601706.00,12250067,31.76,251.00,-180.70
April-2020,320.00,392.80,281.60,379.90,38475089,488885,13008358052.00,10581615,27.50,111.20,59.90
May-2020,361.40,361.40,285.70,332.10,36284940,507678,11655799781.00,10121452,27.89,75.70,-29.30
June-2020,338.20,380.00,323.20,351.45,40052156,543523,14104123811.00,10087584,25.19,56.80,13.25
July-2020,355.00,395.50,340.50,346.90,39089386,535275,14237194251.00,12103751,30.96,55.00,-8.10
August-2020,347.00,422.05,340.60,395.00,48574406,463961,18180954626.00,26036275,53.60,81.45,48.00
September-2020,394.15,399.60,334.00,354.90,22528566,312300,8305812991.00,8893040,39.47,65.60,-39.25
October-2020,357.50,428.25,357.50,392.55,21890828,311762,8722168379.00,8362995,38.20,70.75,35.05
November-2020,417.95,499.00,407.20,472.80,30570946,400952,14165280007.00,13554855,44.34,91.80,54.85
December-2020,483.00,538.40,472.20,534.80,24696353,317140,12534228469.00,12189773,49.36,66.20,51.80
January-2021,534.80,561.00,512.10,537.00,14585900,206162,7867398458.00,6649349,45.59,48.90,2.20
February-2021,550.20,679.30,550.20,597.60,27943347,373271,17369755989.00,11282005,40.37,129.10,47.40
March-2021,606.00,637.75,557.20,581.25,23403821,307271,14059175310.00,12744865,54.46,80.55,-24.75
April-2021,587.70,628.45,531.00,600.40,23400530,350277,13540298124.00,10981133,46.93,97.45,12.70
May-2021,597.40,664.90,584.75,662.20,15025683,244017,9407468185.00,7379392,49.11,80.15,64.80
June-2021,663.35,664.65,616.40,630.85,11375527,228797,7272766779.00,6167675,54.22,48.25,-32.50
July-2021,632.95,693.00,630.00,682.70,12401300,199892,8143397936.00,7298876,58.86,63.00,49.75
August-2021,682.70,719.90,674.00,718.85,5626175,131452,3929937829.00,2003300,35.61,45.90,36.15
September-2021,726.00,735.00,694.20,700.80,26596031,119266,18995043088.00,23668139,88.99,40.80,-25.20
October-2021,696.00,859.70,688.35,802.30,17928656,192552,13444353865.00,12791245,71.35,171.35,106.30
November-2021,808.00,809.75,710.80,714.30,8345584,263876,6338387477.00,4589087,54.99,98.95,-93.70
December-2021,715.60,769.65,698.15,740.25,19769454,375039,14496823594.00,12954967,65.53,71.50,24.65
January-2022,743.90,836.00,743.10,789.25,9121650,298026,7273562102.00,4473173,49.04,92.90,45.35
February-2022,800.00,818.70,702.60,742.45,14498963,337170,11185248511.00,8624797,59.49,116.10,-57.55
March-2022,717.95,737.75,642.00,730.25,13499122,382108,9318611803.00,6616957,49.02,95.75,12.30
April-2022,726.40,777.95,724.10,743.55,11526037,303899,8691372506.00,6203665,53.82,53.85,17.15
May-2022,732.00,756.60,675.00,751.50,12033175,203684,8741732274.00,9043584,75.16,81.60,19.50
June-2022,746.20,757.20,670.35,706.85,6803973,210892,4808618992.00,3815086,56.07,86.85,-39.35
July-2022,702.00,822.75,694.30,818.50,13019113,147247,9882722479.00,10628916,81.64,128.45,116.50
August-2022,819.00,890.50,808.50,887.60,15190178,153845,12779180349.00,11524817,75.87,82.00,68.60
September-2022,865.00,936.35,837.25,862.80,19525026,258323,17465576458.00,15600626,79.90,99.10,-2.20
October-2022,860.00,942.70,846.05,908.55,12218609,150511,10752316729.00,10126429,82.88,96.65,48.55
November-2022,920.20,928.00,891.55,894.90,11067697,81103,10020552723.00,9835470,88.87,36.45,-25.30
